filename,project_id,counterparty,exec_date,doc_type,parent_dir,year_bucket,src_path,size_bytes,normalized_filename
6330 North Hurlburt Wind PPA_Redacted.pdf,6330,6330 North Hurlburt Wind PPA Redacted,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__6330 North Hurlburt Wind PPA_Redacted.pdf,5446763,6330_6330_North_Hurlburt_Wind_PPA_Redacted_OTHER.pdf
6118 - Windpower Partners 1993 - PPA.pdf,6118,Windpower Partners 1993,,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6118 - Windpower Partners 1993 - PPA.pdf,195903,6118_Windpower_Partners_1993_PPA.pdf
"2015-12-18, Sunray Energy 3 - SEGS I, PPA.pdf",2015,12 18  Sunray Energy 3   SEGS I,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2015-12-18, Sunray Energy 3 - SEGS I, PPA.pdf",6551780,2015_12_18_Sunray_Energy_3_SEGS_I_PPA.pdf
Park Meridian 1.pdf,,Park Meridian 1,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Park Meridian 1.pdf,2932610,NA_Park_Meridian_1_OTHER.pdf
"2017-11-30, Terra-Gen 251 Wind (Monolith XII), Amendment 5.pdf",2017,11 30  Terra Gen 251 Wind (Monolith XII)   5,,AMENDMENT,,1985-1989,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__2017-11-30, Terra-Gen 251 Wind (Monolith XII), Amendment 5.pdf",238184,2017_11_30_Terra_Gen_251_Wind_Monolith_XII_5_AMENDMENT.pdf
SCE Ivanpah Unit 2.pdf,,SCE Ivanpah Unit 2,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__SCE Ivanpah Unit 2.pdf,3399767,NA_SCE_Ivanpah_Unit_2_OTHER.pdf
6315 Alta Wind II.pdf,6315,6315 Alta Wind II,,OTHER,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__6315 Alta Wind II.pdf,1645563,6315_6315_Alta_Wind_II_OTHER.pdf
6055 Coram Energy Amendment No2 9-26-85.pdf,6055,6055 Coram Energy  No2 9 26 85,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6055 Coram Energy Amendment No2 9-26-85.pdf,136022,6055_6055_Coram_Energy_No2_9_26_85_AMENDMENT.pdf
SEPV Palmdale East.pdf,,SEPV Palmdale East,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__SEPV Palmdale East.pdf,2540875,NA_SEPV_Palmdale_East_OTHER.pdf
#6319 CONFIDENTIAL Amendment 1 2011-5-4.pdf,6319,#6319 CONFIDENTIAL  1 2011 5 4,,AMENDMENT,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__#6319 CONFIDENTIAL Amendment 1 2011-5-4.pdf,1134512,6319_6319_CONFIDENTIAL_1_2011_5_4_AMENDMENT.pdf
6113_PPA.pdf,6113,,,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6113_PPA.pdf,2590663,6113_unknown_PPA.pdf
Golden Springs Building H_Executed Final.pdf,,Golden Springs Building H Executed,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Golden Springs Building H_Executed Final.pdf,1647717,NA_Golden_Springs_Building_H_Executed_OTHER.pdf
Windland Refresh.pdf,,Windland Refresh,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__Windland Refresh.pdf,1644117,NA_Windland_Refresh_OTHER.pdf
"2014-06-23, PVN Milliken - Landfill Solar, PPA.pdf",2014,06 23  PVN Milliken   Landfill Solar,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2014-06-23, PVN Milliken - Landfill Solar, PPA.pdf",3209814,2014_06_23_PVN_Milliken_Landfill_Solar_PPA.pdf
6062 Karen Windfarm Amendment No1 11-12-04.pdf,6062,6062 Karen Windfarm  No1,2004-11-12,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6062 Karen Windfarm Amendment No1 11-12-04.pdf,737368,6062_6062_Karen_Windfarm_No1_2004-11-12_AMENDMENT.pdf
"2017-05-03, Three Valleys MWD (Fulton Road), PPA.pdf",2017,05 03  Three Valleys MWD (Fulton Road),,PPA,,2016-2017,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__2017-05-03, Three Valleys MWD (Fulton Road), PPA.pdf",1696005,2017_05_03_Three_Valleys_MWD_Fulton_Road_PPA.pdf
SCE 3017-E_Conf Appendix E-15 - 190-6 Sun E Pico Rivera_Executed Final.pdf,3017,SCE 3017 E Conf Appendix E 15   190 6 Sun E Pico Rivera Executed,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__SCE 3017-E_Conf Appendix E-15 - 190-6 Sun E Pico Rivera_Executed Final.pdf,1540256,3017_SCE_3017_E_Conf_Appendix_E_15_190_6_Sun_E_Pico_Rivera_Executed_OTHER.pdf
6097 Boxcar II PPA 4-16-86.pdf,6097,6097 Boxcar II  4 16 86,,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6097 Boxcar II PPA 4-16-86.pdf,1958842,6097_6097_Boxcar_II_4_16_86_PPA.pdf
6307 Aero Energy PPA_Redacted.pdf,6307,6307 Aero Energy PPA Redacted,,OTHER,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__6307 Aero Energy PPA_Redacted.pdf,3481358,6307_6307_Aero_Energy_PPA_Redacted_OTHER.pdf
"2017-05-03, Three Valleys MWD (Williams), PPA.pdf",2017,05 03  Three Valleys MWD (Williams),,PPA,,2016-2017,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__2017-05-03, Three Valleys MWD (Williams), PPA.pdf",1620267,2017_05_03_Three_Valleys_MWD_Williams_PPA.pdf
"2017-11-30, Terra-Gen 251 Wind (Monolith X), Amendment 5.pdf",2017,11 30  Terra Gen 251 Wind (Monolith X)   5,,AMENDMENT,,1985-1989,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__2017-11-30, Terra-Gen 251 Wind (Monolith X), Amendment 5.pdf",241415,2017_11_30_Terra_Gen_251_Wind_Monolith_X_5_AMENDMENT.pdf
6236 - Calwind Resources - PPA.pdf,6236,Calwind Resources,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__6236 - Calwind Resources - PPA.pdf,107096,6236_Calwind_Resources_PPA.pdf
SCE Advice 3517-E Appendix G-5 - PPA Rio Bravo Rocklin - CONFIDENTIAL.pdf,3517,SCE Advice 3517 E Appendix G 5    Rio Bravo Rocklin   CONFIDENTIAL,,PPA,,2016-2017,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__SCE Advice 3517-E Appendix G-5 - PPA Rio Bravo Rocklin - CONFIDENTIAL.pdf,3527477,3517_SCE_Advice_3517_E_Appendix_G_5_Rio_Bravo_Rocklin_CONFIDENTIAL_PPA.pdf
6113_amendmentNo4.pdf,6113,,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6113_amendmentNo4.pdf,1073925,6113_unknown_AMENDMENT.pdf
Golden Springs Building M_Executed Final.pdf,,Golden Springs Building M Executed,,OTHER,,2013,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013__Golden Springs Building M_Executed Final.pdf,2991933,NA_Golden_Springs_Building_M_Executed_OTHER.pdf
#6213 Amendment 4.pdf,6213,#6213  4,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__#6213 Amendment 4.pdf,301063,6213_6213_4_AMENDMENT.pdf
6089 CTV Power PPA 4-17-85.pdf,6089,6089 CTV Power  4 17 85,,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6089 CTV Power PPA 4-17-85.pdf,2425308,6089_6089_CTV_Power_4_17_85_PPA.pdf
"Confidential - market sensitive pursuant to D.06-06-066_6391 Cameron Ridge II, LLC - FULLY EXECUTED (WES Copy).pdf",6391,Cameron Ridge II  LLC     (WES Copy),,OTHER,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_6391 Cameron Ridge II, LLC - FULLY EXECUTED (WES Copy).pdf",4943711,6391_Cameron_Ridge_II_LLC_WES_Copy_OTHER.pdf
SCE Imperial Valley Biopower PPA.pdf,,SCE Imperial Valley Biopower,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__SCE Imperial Valley Biopower PPA.pdf,1436915,NA_SCE_Imperial_Valley_Biopower_PPA.pdf
6320 Confidential _111229 ER12-712 SCE_ Alta LGIA 2012_TL-LGIA .pdf,6320,6320 Confidential  111229 ER12 712 SCE  Alta LGIA 2012 TL LGIA,,OTHER,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__6320 Confidential _111229 ER12-712 SCE_ Alta LGIA 2012_TL-LGIA .pdf,812109,6320_6320_Confidential_111229_ER12_712_SCE_Alta_LGIA_2012_TL_LGIA_OTHER.pdf
SCE Advice 3517-E Appendix G-4 - BioRAM Rider Rio Bravo Fresno - CONFIDENTIAL.pdf,3517,SCE Advice 3517 E Appendix G 4   BioRAM Rider Rio Bravo Fresno   CONFIDENTIAL,,OTHER,,2016-2017,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__SCE Advice 3517-E Appendix G-4 - BioRAM Rider Rio Bravo Fresno - CONFIDENTIAL.pdf,332965,3517_SCE_Advice_3517_E_Appendix_G_4_BioRAM_Rider_Rio_Bravo_Fresno_CONFIDENTIAL_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_4213 EGPNA TKO South Bear Creek - PPA EXECUTED 7-15-2015.pdf,4213,EGPNA TKO South Bear Creek     7 15 2015,2015-07-15,PPA,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_4213 EGPNA TKO South Bear Creek - PPA EXECUTED 7-15-2015.pdf,7022243,4213_EGPNA_TKO_South_Bear_Creek_7_15_2015_2015-07-15_PPA.pdf
"2015-08-07, Broadview Energy KW, PPA.pdf",2015,08 07  Broadview Energy KW,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2015-08-07, Broadview Energy KW, PPA.pdf",8434335,2015_08_07_Broadview_Energy_KW_PPA.pdf
"2017-03-14, MM Tulare Energy, PPA.pdf",2017,03 14  MM Tulare Energy,,PPA,,2016-2017,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__2017-03-14, MM Tulare Energy, PPA.pdf",1855471,2017_03_14_MM_Tulare_Energy_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_5838 SR Solis Crown - PPA FULLY EXECUTED.pdf,5838,SR Solis Crown,,PPA,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_5838 SR Solis Crown - PPA FULLY EXECUTED.pdf,4285611,5838_SR_Solis_Crown_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_6355_CoramEnergy_20161116_Amendment No.1 to PPA (Fully Executed e~1.pdf,6355,CoramEnergy 20161116 Amendment No.1 to  (  e~1,,PPA,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_6355_CoramEnergy_20161116_Amendment No.1 to PPA (Fully Executed e~1.pdf,171107,6355_CoramEnergy_20161116_Amendment_No_1_to_e_1_PPA.pdf
PPA.pdf,,,,PPA,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__PPA.pdf,2759026,NA_unknown_PPA.pdf
6113_amendmentNo1.pdf,6113,,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6113_amendmentNo1.pdf,328754,6113_unknown_AMENDMENT_v1.pdf
#6213 Amendment 1.pdf,6213,#6213  1,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__#6213 Amendment 1.pdf,517832,6213_6213_1_AMENDMENT.pdf
SCE Coram Brodie PPA.pdf,,SCE Coram Brodie,,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__SCE Coram Brodie PPA.pdf,734403,NA_SCE_Coram_Brodie_PPA.pdf
6234 Amend No. 1 to the Amendment and Restated Wind Park PPSA.pdf,6234,6234  No. 1 to the  and  Wind Park,,AMENDMENT_AND_RESTATED,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6234 Amend No. 1 to the Amendment and Restated Wind Park PPSA.pdf,210201,6234_6234_No_1_to_the_and_Wind_Park_AMENDMENT_AND_RESTATED.pdf
6089 CTV Power Amendment No3 10-1-04.pdf,6089,6089 CTV Power  No3 10 1 04,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6089 CTV Power Amendment No3 10-1-04.pdf,467115,6089_6089_CTV_Power_No3_10_1_04_AMENDMENT.pdf
Sun E Oxnard_Executed Final.pdf,,Sun E Oxnard Executed,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Sun E Oxnard_Executed Final.pdf,3310117,NA_Sun_E_Oxnard_Executed_OTHER.pdf
1095 Simi Valley PPA 12-20-02.pdf,1095,1095 Simi Valley,2002-12-20,PPA,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__1095 Simi Valley PPA 12-20-02.pdf,5381565,1095_1095_Simi_Valley_2002-12-20_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_5885 - 2014 RPS RFO PPA Blythe Solar II 5885 07152015.pdf,5885,2014 RPS RFO  Blythe Solar II 5885 07152015,,PPA,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_5885 - 2014 RPS RFO PPA Blythe Solar II 5885 07152015.pdf,6976832,5885_2014_RPS_RFO_Blythe_Solar_II_5885_07152015_PPA.pdf
"2014-10-22, Portal Ridge Solar B, PPA.pdf",2014,10 22  Portal Ridge Solar B,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2014-10-22, Portal Ridge Solar B, PPA.pdf",3382496,2014_10_22_Portal_Ridge_Solar_B_PPA.pdf
"2017-07-12, Terra-Gen 251 Wind (Monolith XII), Amendment 4.pdf",2017,07 12  Terra Gen 251 Wind (Monolith XII)   4,,AMENDMENT,,1985-1989,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__2017-07-12, Terra-Gen 251 Wind (Monolith XII), Amendment 4.pdf",136766,2017_07_12_Terra_Gen_251_Wind_Monolith_XII_4_AMENDMENT.pdf
6114 Amend No 1 to the PPC 111888.pdf,6114,6114  No 1 to the PPC 111888,,OTHER,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6114 Amend No 1 to the PPC 111888.pdf,142548,6114_6114_No_1_to_the_PPC_111888_OTHER.pdf
"2014-07-30, Mound Solar Partnership XI - Antelope Valley Solar AVS Lancaster I, IA.pdf",2014,07 30  Mound Solar Partnership XI   Antelope Valley Solar AVS Lancaster I  IA,,OTHER,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2014-07-30, Mound Solar Partnership XI - Antelope Valley Solar AVS Lancaster I, IA.pdf",868750,2014_07_30_Mound_Solar_Partnership_XI_Antelope_Valley_Solar_AVS_Lancaster_I_IA_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA.pdf,6324,Alta Wind XI,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__Confidential - market sensitive pursuant to D.06-06-066_6324 Alta Wind XI -- PPA.pdf,921296,6324_Alta_Wind_XI_PPA.pdf
3108 - Ormat-SCE (ORNI 18).pdf,3108,Ormat SCE (ORNI 18),,OTHER,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__3108 - Ormat-SCE (ORNI 18).pdf,1026503,3108_Ormat_SCE_ORNI_18_OTHER.pdf
SCE Advice 3517-E Appendix G-3 - PPA Rio Bravo Fresno - CONFIDENTIAL.pdf,3517,SCE Advice 3517 E Appendix G 3    Rio Bravo Fresno   CONFIDENTIAL,,PPA,,2016-2017,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__SCE Advice 3517-E Appendix G-3 - PPA Rio Bravo Fresno - CONFIDENTIAL.pdf,3470661,3517_SCE_Advice_3517_E_Appendix_G_3_Rio_Bravo_Fresno_CONFIDENTIAL_PPA.pdf
#6213 Amendment 3.pdf,6213,#6213  3,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__#6213 Amendment 3.pdf,760695,6213_6213_3_AMENDMENT.pdf
6062 Karen Windfarm PPA 12-31-84.pdf,6062,6062 Karen Windfarm,1984-12-31,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6062 Karen Windfarm PPA 12-31-84.pdf,2599107,6062_6062_Karen_Windfarm_1984-12-31_PPA.pdf
6113_amendmentNo3.pdf,6113,,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6113_amendmentNo3.pdf,200228,6113_unknown_AMENDMENT_v2.pdf
6304 Mountain View Power Partners-IV_Redacted-.pdf,6304,6304 Mountain View Power Partners IV Redacted,,OTHER,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__6304 Mountain View Power Partners-IV_Redacted-.pdf,2077183,6304_6304_Mountain_View_Power_Partners_IV_Redacted_OTHER.pdf
6113_amendmentNo2.pdf,6113,,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6113_amendmentNo2.pdf,281194,6113_unknown_AMENDMENT_v3.pdf
6055 Coram Energy Amendment No4 10-1-04.pdf,6055,6055 Coram Energy  No4 10 1 04,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6055 Coram Energy Amendment No4 10-1-04.pdf,607136,6055_6055_Coram_Energy_No4_10_1_04_AMENDMENT.pdf
#6213 Amendment 2.pdf,6213,#6213  2,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__#6213 Amendment 2.pdf,261657,6213_6213_2_AMENDMENT.pdf
Wildwood PPA.pdf,,Wildwood,,PPA,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Wildwood PPA.pdf,2311964,NA_Wildwood_PPA.pdf
"2015-08-07, Broadview Energy JN, PPA.pdf",2015,08 07  Broadview Energy JN,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2015-08-07, Broadview Energy JN, PPA.pdf",7354486,2015_08_07_Broadview_Energy_JN_PPA.pdf
SCE - North American PPA.pdf,,SCE   North American,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__SCE - North American PPA.pdf,439080,NA_SCE_North_American_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Signature Page.pdf,6323,Alta Wind X    Signature Page,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA Signature Page.pdf,23106,6323_Alta_Wind_X_Signature_Page_PPA.pdf
SCE Calpine Geysers PPA.pdf,,SCE Calpine Geysers,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__SCE Calpine Geysers PPA.pdf,839297,NA_SCE_Calpine_Geysers_PPA.pdf
MWD PPA.pdf,,MWD,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__MWD PPA.pdf,411781,NA_MWD_PPA.pdf
"SCE Adera Solar, LLC - PPA.pdf",,SCE Adera Solar  LLC,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__SCE Adera Solar, LLC - PPA.pdf",3030104,NA_SCE_Adera_Solar_LLC_PPA.pdf
Golden Springs Building M_Executed Final.pdf,,Golden Springs Building M Executed,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Golden Springs Building M_Executed Final.pdf,2991933,NA_Golden_Springs_Building_M_Executed_OTHER_v1.pdf
SCE Chateau Energy - PPA.pdf,,SCE Chateau Energy,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__SCE Chateau Energy - PPA.pdf,662541,NA_SCE_Chateau_Energy_PPA.pdf
SCE Advice 3517-E Appendix G-2 - BioRAM Rider Pacific Ultrapower Chinese Station - CONFIDENTIAL.pdf,3517,SCE Advice 3517 E Appendix G 2   BioRAM Rider Pacific Ultrapower Chinese Station   CONFIDENTIAL,,OTHER,,2016-2017,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__SCE Advice 3517-E Appendix G-2 - BioRAM Rider Pacific Ultrapower Chinese Station - CONFIDENTIAL.pdf,485391,3517_SCE_Advice_3517_E_Appendix_G_2_BioRAM_Rider_Pacific_Ultrapower_Chinese_Station_C_OTHER.pdf
"2014-10-22, Jacumba Solar Farm, PPA.pdf",2014,10 22  Jacumba Solar Farm,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2014-10-22, Jacumba Solar Farm, PPA.pdf",2145313,2014_10_22_Jacumba_Solar_Farm_PPA.pdf
SCE NRG Solar Oasis LLC  - PPA.pdf,,SCE NRG Solar Oasis LLC,,PPA,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__SCE NRG Solar Oasis LLC  - PPA.pdf,1809698,NA_SCE_NRG_Solar_Oasis_LLC_PPA.pdf
1093 Amended and Restated El Sobrante PPA 05-10-06.pdf,1093,1093  and  El Sobrante,2006-05-10,AMENDMENT_AND_RESTATED,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__1093 Amended and Restated El Sobrante PPA 05-10-06.pdf,4395425,1093_1093_and_El_Sobrante_2006-05-10_AMENDMENT_AND_RESTATED.pdf
"Confidential - market sensitive pursuant to D.06-06-066_5823_TC_Valos_Solar_Energy,_LLC_-_PPA_FULLY_EXECUTED.pdf",5823,TC Valos Solar Energy LLC PPA FULLY EXECUTED,,OTHER,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_5823_TC_Valos_Solar_Energy,_LLC_-_PPA_FULLY_EXECUTED.pdf",4563591,5823_TC_Valos_Solar_Energy_LLC_PPA_FULLY_EXECUTED_OTHER.pdf
6331 South Hurlburt Wind PPA_Redacted-.pdf,6331,6331 South Hurlburt Wind PPA Redacted,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__6331 South Hurlburt Wind PPA_Redacted-.pdf,4863939,6331_6331_South_Hurlburt_Wind_PPA_Redacted_OTHER.pdf
"2017-10-10, Royal Farms, Termination Notice.pdf",2017,10 10  Royal Farms  Termination,,NOTICE,,1985-1989,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__2017-10-10, Royal Farms, Termination Notice.pdf",23494,2017_10_10_Royal_Farms_Termination_NOTICE.pdf
6114 Desert Winds III Power Purchase Trust Agreement and Declaration.pdf,6114,6114 Desert Winds III Power Purchase Trust Agreement and Declaration,,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6114 Desert Winds III Power Purchase Trust Agreement and Declaration.pdf,1452988,6114_6114_Desert_Winds_III_Power_Purchase_Trust_Agreement_and_Declaration_PPA.pdf
"Confidential - market sensitive pursuant to D.06-06-066_5878 PPA Golden Solar LLC, Dulles.pdf",5878,Golden Solar LLC  Dulles,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_5878 PPA Golden Solar LLC, Dulles.pdf",1321887,5878_Golden_Solar_LLC_Dulles_PPA.pdf
Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA.pdf,6323,Alta Wind X,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__Confidential - market sensitive pursuant to D.06-06-066_6323 Alta Wind X -- PPA.pdf,979945,6323_Alta_Wind_X_PPA.pdf
SCE Dillon Wind LLC Rap ID 6305 w Amend1.pdf,6305,SCE Dillon Wind LLC Rap ID 6305 w,,OTHER,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__SCE Dillon Wind LLC Rap ID 6305 w Amend1.pdf,4895598,6305_SCE_Dillon_Wind_LLC_Rap_ID_6305_w_OTHER.pdf
SCE 2775-E Confidential Appendix F Sierra Solar.pdf,2775,SCE 2775 E Confidential Appendix F Sierra Solar,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__SCE 2775-E Confidential Appendix F Sierra Solar.pdf,6390560,2775_SCE_2775_E_Confidential_Appendix_F_Sierra_Solar_OTHER.pdf
SCE Advice 3517-E Appendix G-1 - PPA Pacific Ultrapower Chinese Station - CONFIDENTIAL.pdf,3517,SCE Advice 3517 E Appendix G 1    Pacific Ultrapower Chinese Station   CONFIDENTIAL,,PPA,,2016-2017,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__SCE Advice 3517-E Appendix G-1 - PPA Pacific Ultrapower Chinese Station - CONFIDENTIAL.pdf,8330785,3517_SCE_Advice_3517_E_Appendix_G_1_Pacific_Ultrapower_Chinese_Station_CONFIDENTIAL_PPA.pdf
