filename,project_id,counterparty,exec_date,doc_type,parent_dir,year_bucket,src_path,size_bytes,normalized_filename
"2015-12-16, Caliente - II, PPA.pdf",2015,Caliente - II,,PPA,Caliente - II,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Caliente - II/2015-12-16, Caliente - II, PPA.pdf",13391945,2015_Caliente_-_II_PPA.pdf
"2017-03-23, Caliente - II, Interconnection Agreement.pdf",2017,Caliente - II,,AGREEMENT,Caliente - II,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Caliente - II/2017-03-23, Caliente - II, Interconnection Agreement.pdf",25180552,2017_Caliente_-_II_AGREEMENT.pdf
"2018-03-27, Caliente - II, Amendment 1 Appendix E.pdf",2018,Caliente - II,,AMENDMENT,Caliente - II,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Caliente - II/2018-03-27, Caliente - II, Amendment 1 Appendix E.pdf",4702683,2018_Caliente_-_II_AMENDMENT_v1.pdf
Confidential - market sensitive pursuant to D.06-06-066_5512 Little Rock Pham Solar PV PPA.pdf,5512,5512,,PPA,5512,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/5512/Confidential - market sensitive pursuant to D.06-06-066_5512 Little Rock Pham Solar PV PPA.pdf,1690464,5512_5512_PPA.pdf
6105 - Monolith X_Amendment No. 4 (Extension Amendment) to the PPA - Fully Executed_061617.pdf,6105,6105,,AMENDMENT,6105,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6105/6105 - Monolith X_Amendment No. 4 (Extension Amendment) to the PPA - Fully Executed_061617.pdf,132222,6105_6105_AMENDMENT.pdf
6330 North Hurlburt Amendment No 2 Executed 3617.pdf,6330,6330,,AMENDMENT,6330,2017-2020,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/6330/6330 North Hurlburt Amendment No 2 Executed 3617.pdf,147796,6330_6330_AMENDMENT.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2016-12-22, Voyager Wind I, Amendment 1.pdf",2016,Voyager Wind I,,AMENDMENT,Voyager Wind I,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Voyager Wind I/Confidential - market sensitive pursuant to D.06-06-066_2016-12-22, Voyager Wind I, Amendment 1.pdf",512339,2016_Voyager_Wind_I_AMENDMENT.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2011-12-22, Voyager Wind I, Interconnection Agreement.pdf",2011,Voyager Wind I,,AGREEMENT,Voyager Wind I,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Voyager Wind I/Confidential - market sensitive pursuant to D.06-06-066_2011-12-22, Voyager Wind I, Interconnection Agreement.pdf",831437,2011_Voyager_Wind_I_AGREEMENT.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2015-11-19, Voyager Wind I, PPA.pdf",2015,Voyager Wind I,,PPA,Voyager Wind I,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Voyager Wind I/Confidential - market sensitive pursuant to D.06-06-066_2015-11-19, Voyager Wind I, PPA.pdf",17123122,2015_Voyager_Wind_I_PPA.pdf
"Confidential - market sensitive pursuant to D.06-06-066_2016-11-18, Maverick Solar LLC, PPA.pdf",2016,Maverick Solar LLC,,PPA,Maverick Solar LLC,2017-2020,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/zip_extract/SCE Public PPAs/Maverick Solar LLC/Confidential - market sensitive pursuant to D.06-06-066_2016-11-18, Maverick Solar LLC, PPA.pdf",4805006,2016_Maverick_Solar_LLC_PPA.pdf
